<GENE ID>  <LOCALIZATION>
"G239167" | "nucleus"
"G234565" | "ER"
"G234698" | "plasma membrane"
"G239971" | "nucleus"
"G236279" | "nucleus"
"G234226" | "transport vesicles"
"G234739" | "cytoplasm"
"G234618" | "nucleus"
"G235752" | "nucleus"
"G235328" | "nucleus"
"G234958" | "nucleus"
"G235069" | "nucleus"
"G235299" | "mitochondria"
"G235679" | "nucleus"
"G237587" | "nucleus"
"G234922" | "nucleus"
"G234087" | "nucleus"
"G234213" | "golgi"
"G234794" | "mitochondria"
"G234249" | "nucleus"
"G240373" | "nucleus"
"G234847" | "cytoplasm"
"G235166" | "nucleus"
"G234617" | "golgi"
"G235275" | "mitochondria"
"G235033" | "nucleus"
"G237670" | "nucleus"
"G236919" | "nucleus"
"G235493" | "cytoplasm"
"G235511" | "ER"
"G235305" | "nucleus"
"G235179" | "nucleus"
"G235668" | "cytoplasm"
"G235898" | "nucleus"
"G238662" | "nucleus"
"G235547" | "cytoskeleton"
"G238783" | "nucleus"
"G237700" | "nucleus"
"G235414" | "nucleus"
"G235777" | "nucleus"
"G235402" | "cytoskeleton"
"G234062" | "mitochondria"
"G237126" | "nucleus"
"G235208" | "cytoplasm"
"G235709" | "nucleus"
"G234086" | "mitochondria"
"G235818" | "nucleus"
"G234333" | "cytoplasm"
"G234442" | "cytoskeleton"
"G236831" | "nucleus"
"G240057" | "nucleus"
"G237196" | "nucleus"
"G236758" | "nucleus"
"G234701" | "nucleus"
"G234834" | "nucleus"
"G235385" | "golgi"
"G235276" | "cytoplasm"
"G239938" | "nucleus"
"G235778" | "cytoskeleton"
"G235875" | "nucleus"
"G235524" | "nucleus"
"G239304" | "nucleus"
"G235904" | "nucleus"
"G235318" | "nucleus"
"G235928" | "nucleus"
"G235916" | "nucleus"
"G234992" | "plasma membrane"
"G234780" | "nucleus"
"G234097" | "nucleus"
"G234671" | "plasma membrane"
"G234683" | "plasma membrane"
"G238609" | "nucleus"
"G240492" | "nucleus"
"G234247" | "cytoskeleton"
"G237321" | "nucleus"
"G234615" | "transport vesicles"
"G235362" | "nucleus"
"G240327" | "nucleus"
"G238447" | "nucleus"
"G235387" | "golgi"
"G235646" | "cytoskeleton"
"G235767" | "mitochondria"
"G235537" | "cytoplasm"
"G235888" | "nucleus"
"G237358" | "nucleus"
"G234181" | "nucleus"
"G237116" | "nucleus"
"G235917" | "nucleus"
"G235319" | "nucleus"
"G234791" | "cytoplasm"
"G234189" | "nucleus"
"G234521" | "cytoskeleton"
"G234298" | "nucleus"
"G239664" | "nucleus"
